fetch_timestamp_utc,data_timestamp_utc,exchange,symbol,raw_exchange_symbol,mark_price,index_price,premium_abs,premium_pct,request_success,error_message,source_name
2026-05-10T17:08:16Z,2026-05-10T17:00:00Z,binance,SUI_USDT,SUIUSDT,,,,,False,HTTP Error 451: ,binance_fapi_premiumIndex
2026-05-10T17:08:16Z,2026-05-10T17:00:00Z,binance,TRX_USDT,TRXUSDT,,,,,False,HTTP Error 451: ,binance_fapi_premiumIndex
2026-05-10T17:08:16Z,2026-05-10T17:00:00Z,binance,XRP_USDT,XRPUSDT,,,,,False,HTTP Error 451: ,binance_fapi_premiumIndex
2026-05-10T19:19:37Z,2026-05-10T19:00:00Z,binance,ADA_USDT,ADAUSDT,,,,,False,HTTP Error 451: ,binance_fapi_premiumIndex
2026-05-10T19:19:37Z,2026-05-10T19:00:00Z,binance,APT_USDT,APTUSDT,,,,,False,HTTP Error 451: ,binance_fapi_premiumIndex
2026-05-10T19:19:37Z,2026-05-10T19:00:00Z,binance,ARB_USDT,ARBUSDT,,,,,False,HTTP Error 451: ,binance_fapi_premiumIndex
2026-05-10T19:19:37Z,2026-05-10T19:00:00Z,binance,AVAX_USDT,AVAXUSDT,,,,,False,HTTP Error 451: ,binance_fapi_premiumIndex
2026-05-10T19:19:37Z,2026-05-10T19:00:00Z,binance,BCH_USDT,BCHUSDT,,,,,False,HTTP Error 451: ,binance_fapi_premiumIndex
2026-05-10T19:19:37Z,2026-05-10T19:00:00Z,binance,BNB_USDT,BNBUSDT,,,,,False,HTTP Error 451: ,binance_fapi_premiumIndex
2026-05-10T19:19:37Z,2026-05-10T19:00:00Z,binance,DOGE_USDT,DOGEUSDT,,,,,False,HTTP Error 451: ,binance_fapi_premiumIndex
2026-05-10T19:19:37Z,2026-05-10T19:00:00Z,binance,DOT_USDT,DOTUSDT,,,,,False,HTTP Error 451: ,binance_fapi_premiumIndex
2026-05-10T19:19:37Z,2026-05-10T19:00:00Z,binance,ETH_USDT,ETHUSDT,,,,,False,HTTP Error 451: ,binance_fapi_premiumIndex
2026-05-10T19:19:37Z,2026-05-10T19:00:00Z,binance,FTM_USDT,FTMUSDT,,,,,False,HTTP Error 451: ,binance_fapi_premiumIndex
2026-05-10T19:19:37Z,2026-05-10T19:00:00Z,binance,LINK_USDT,LINKUSDT,,,,,False,HTTP Error 451: ,binance_fapi_premiumIndex
2026-05-10T19:19:37Z,2026-05-10T19:00:00Z,binance,LTC_USDT,LTCUSDT,,,,,False,HTTP Error 451: ,binance_fapi_premiumIndex
2026-05-10T19:19:37Z,2026-05-10T19:00:00Z,binance,NEAR_USDT,NEARUSDT,,,,,False,HTTP Error 451: ,binance_fapi_premiumIndex
2026-05-10T19:19:37Z,2026-05-10T19:00:00Z,binance,OP_USDT,OPUSDT,,,,,False,HTTP Error 451: ,binance_fapi_premiumIndex
2026-05-10T19:19:37Z,2026-05-10T19:00:00Z,binance,POL_USDT,POLUSDT,,,,,False,HTTP Error 451: ,binance_fapi_premiumIndex
2026-05-10T19:19:37Z,2026-05-10T19:00:00Z,binance,SOL_USDT,SOLUSDT,,,,,False,HTTP Error 451: ,binance_fapi_premiumIndex
2026-05-10T19:19:37Z,2026-05-10T19:00:00Z,binance,SUI_USDT,SUIUSDT,,,,,False,HTTP Error 451: ,binance_fapi_premiumIndex
2026-05-10T19:19:37Z,2026-05-10T19:00:00Z,binance,TRX_USDT,TRXUSDT,,,,,False,HTTP Error 451: ,binance_fapi_premiumIndex
2026-05-10T19:19:37Z,2026-05-10T19:00:00Z,binance,XRP_USDT,XRPUSDT,,,,,False,HTTP Error 451: ,binance_fapi_premiumIndex
2026-05-10T21:01:26Z,2026-05-10T21:00:00Z,binance,ADA_USDT,ADAUSDT,,,,,False,HTTP Error 451: ,binance_fapi_premiumIndex
2026-05-10T21:01:26Z,2026-05-10T21:00:00Z,binance,APT_USDT,APTUSDT,,,,,False,HTTP Error 451: ,binance_fapi_premiumIndex
2026-05-10T21:01:26Z,2026-05-10T21:00:00Z,binance,ARB_USDT,ARBUSDT,,,,,False,HTTP Error 451: ,binance_fapi_premiumIndex
2026-05-10T21:01:26Z,2026-05-10T21:00:00Z,binance,AVAX_USDT,AVAXUSDT,,,,,False,HTTP Error 451: ,binance_fapi_premiumIndex
2026-05-10T21:01:26Z,2026-05-10T21:00:00Z,binance,BCH_USDT,BCHUSDT,,,,,False,HTTP Error 451: ,binance_fapi_premiumIndex
2026-05-10T21:01:26Z,2026-05-10T21:00:00Z,binance,BNB_USDT,BNBUSDT,,,,,False,HTTP Error 451: ,binance_fapi_premiumIndex
2026-05-10T21:01:26Z,2026-05-10T21:00:00Z,binance,DOGE_USDT,DOGEUSDT,,,,,False,HTTP Error 451: ,binance_fapi_premiumIndex
2026-05-10T21:01:26Z,2026-05-10T21:00:00Z,binance,DOT_USDT,DOTUSDT,,,,,False,HTTP Error 451: ,binance_fapi_premiumIndex
2026-05-10T21:01:26Z,2026-05-10T21:00:00Z,binance,ETH_USDT,ETHUSDT,,,,,False,HTTP Error 451: ,binance_fapi_premiumIndex
2026-05-10T21:01:26Z,2026-05-10T21:00:00Z,binance,FTM_USDT,FTMUSDT,,,,,False,HTTP Error 451: ,binance_fapi_premiumIndex
2026-05-10T21:01:26Z,2026-05-10T21:00:00Z,binance,LINK_USDT,LINKUSDT,,,,,False,HTTP Error 451: ,binance_fapi_premiumIndex
2026-05-10T21:01:26Z,2026-05-10T21:00:00Z,binance,LTC_USDT,LTCUSDT,,,,,False,HTTP Error 451: ,binance_fapi_premiumIndex
2026-05-10T21:01:26Z,2026-05-10T21:00:00Z,binance,NEAR_USDT,NEARUSDT,,,,,False,HTTP Error 451: ,binance_fapi_premiumIndex
