symbol,side,entry_time,exit_time,entry_idx,exit_idx,entry_price,exit_price,pnl_pct,net_pnl_pct,pnl_portfolio_pct,exit_reason,mfe_atr,mae_atr,bars_held,rsi_14,adx_1h,adx_prev_1h,vol_ratio,atr,ema20,ema50,ema200,btc_adx,btc_ema20,btc_ema50,btc_ema200,btc_regime_pass,confirmation_type,had_pullback,close_position,execution_model,balance_before_entry,balance_before_exit,balance_after_exit,forward_return_4bars,forward_return_8bars
ETHUSDT,long,2021-01-08 07:00:00,2021-01-10 08:00:00,175,224,1209.09,1332.83,10.234143033190252,10.094143033190251,0.9552266731827787,TIME_STOP,2.5785791105206575,1.2821155184411945,49,52.423059858452,30.82724847426918,30.54733805710356,0.6855283330808603,56.45357142857144,1195.064485560842,1175.5073415538925,1005.1066348031144,27.22209324622785,38463.31269036472,37214.5578920933,33616.827219310224,True,rsi_rebound,True,0.8677808334912676,enter_on_signal_bar_close,100.0,99.93,100.95522667318278,4.161807640456886,0.6972185693372754
AVAXUSDT,long,2021-01-15 08:00:00,2021-01-15 16:00:00,344,352,9.5864,8.810614285714285,-8.092565658492386,-8.232565658492387,-1.1392509999999874,STOP_LOSS,0.8463677377773702,2.6401620476935808,8,62.84433355886006,36.87988611779104,36.30148727293284,1.0496452537957357,0.387892857142857,9.106227756564849,8.642007618717455,7.028478486316769,26.589945524354007,38601.74638311783,37759.8787380824,36492.7141916931,True,rsi_rebound,True,0.7110613082902802,enter_on_signal_bar_close,100.0,99.93,98.86074900000001,-1.3185345906701005,-3.8523324710005746
BCHUSDT,long,2021-02-03 15:00:00,2021-02-04 03:00:00,807,819,441.32,441.32,0.0,-0.13999999999999999,-0.13995099999998217,BREAK_EVEN_SL,1.978589538923845,0.8952953328951082,12,60.59899260225764,47.69568495468975,47.51007031994354,1.1528555152032638,7.606428571428568,434.6966546267872,427.5294644516103,420.80649898331023,39.32085620994262,36094.26733083474,35344.54650286067,34128.56389084067,True,rsi_rebound,True,0.7027600848510863,enter_on_signal_bar_close,100.0,99.93,99.86004900000002,0.24472038430163692,1.2439952868666748
FTMUSDT,long,2021-02-04 07:00:00,2021-02-04 08:00:00,823,824,0.143371,0.143371,0.0,-0.13999999999999999,-0.13995099999998217,BREAK_EVEN_SL,1.5833712764049521,0.844323026615349,1,65.25122410800458,34.62411129709318,32.951164945330966,2.917337494038613,0.0051769285714285,0.1356708821131438,0.1309307347606539,0.1120963071040011,38.58311902724287,37364.57891284878,36416.069175079865,34637.379238575326,True,rsi_rebound,True,0.4036055323952494,enter_on_signal_bar_close,100.0,99.93,99.86004900000002,-6.796353516401505,-7.094879717655584
NEARUSDT,long,2021-02-09 08:00:00,2021-02-09 12:00:00,944,948,3.4182,3.276871428571429,-4.134590469503576,-4.2745904695035755,-1.1392509999999874,STOP_LOSS,0.2688769837258624,2.448195693924999,4,56.75462106578991,38.30545878256672,38.07859975441042,0.8401729107859833,0.0706642857142857,3.3635465588517177,3.2428795286971623,2.826575822255731,55.66826854998568,45249.3728026778,42677.42126760363,38726.21527619448,True,rsi_rebound,True,0.9210526194598369,enter_on_signal_bar_close,100.0,99.93,98.86074900000001,-4.698379263940088,-4.341466268796445
BCHUSDT,long,2021-02-09 16:00:00,2021-02-10 04:00:00,952,964,507.39,507.39,0.0,-0.13999999999999999,-0.1399509999999775,BREAK_EVEN_SL,2.011679729522057,0.3793863019312507,12,63.88562694353443,41.152650129817175,40.53832925368096,2.6602579115011595,13.943571428571436,487.6777155925637,475.73630595395394,451.5744030720893,41.64309417584914,45876.49602423491,43685.7419081831,39312.01546109866,True,vol_and_rsi,True,0.7093525179600939,enter_on_signal_bar_close,99.86004900000002,99.79014696570003,99.72029386282405,-0.10839787934330818,1.4190267841305595
TRXUSDT,long,2021-02-21 08:00:00,2021-02-21 21:00:00,1232,1245,0.05941,0.05941,0.0,-0.13999999999999999,-0.13995099999998217,BREAK_EVEN_SL,1.5612298071913453,0.5544554455445868,13,49.917015616214044,30.88797573922354,30.750556509816786,0.8775521447591403,0.0013707142857142,0.0592876326412283,0.0591699361144124,0.0551201033500323,26.31022738884349,56367.61970134032,55436.31852165315,51399.28585779987,True,rsi_rebound,True,0.9999990909099175,enter_on_signal_bar_close,100.0,99.93,99.86004900000002,0.65645514223195,1.9525332435616924
AVAXUSDT,long,2021-03-14 09:00:00,2021-03-14 11:00:00,1737,1739,32.0666,30.239157142857145,-5.698898096907236,-5.8388980969072355,-1.13925099999999,STOP_LOSS,0.16263162420556648,2.042854574307584,2,62.83867516143707,32.59022287883824,31.928237624584412,1.1341064498664715,0.913721428571428,30.71335119275118,30.21615588421379,29.128033816910065,37.5685515106284,60579.77142040549,59229.65237981823,55284.98478612813,True,rsi_rebound,True,0.8078974862190524,enter_on_signal_bar_close,98.86074900000001,98.79154647570002,97.73447692841003,-5.059781829068259,-6.065189324717933
XRPUSDT,long,2021-03-18 10:00:00,2021-03-18 12:00:00,1834,1836,0.4758,0.4758,0.0,-0.13999999999999999,-0.13995099999998217,BREAK_EVEN_SL,2.7272727272727297,0.9421487603305757,2,57.25750914362517,38.474315948178585,38.41663633264119,0.7283508038568411,0.00605,0.4713594243629129,0.4668357560617696,0.4593709666593967,29.114148408647885,58019.73048341801,57257.03229091405,56368.56271968678,True,rsi_rebound,True,0.9322032318299589,enter_on_signal_bar_close,100.0,99.93,99.86004900000002,-0.10508617065994123,0.5464480874316922
DOGEUSDT,long,2021-04-10 23:00:00,2021-04-11 00:00:00,2399,2400,0.06379,0.0667458571428571,4.633731216267608,4.493731216267609,1.3589990000000114,TAKE_PROFIT,4.449470784399077,0.25271857329273884,1,56.996077831261545,34.91442338403959,34.91221986615971,0.5961143381458686,0.0009852857142857,0.0633166291117372,0.0625856105473395,0.0603372726501924,28.64529415247056,59748.32990621561,59203.77692663575,58303.69296323096,True,rsi_rebound,True,0.5874553114352394,enter_on_signal_bar_close,100.0,99.93,101.35899900000001,3.7325599623765386,3.6432042639912314
