symbol,side,entry_time,exit_time,entry_price,exit_price,pnl_portfolio_pct,exit_reason,mfe_atr,mae_atr,bars_held,btc_re,btc_adx_1h,coin_adx_15m,coin_adx_1h,whitelist_source_date,ts,exit,pnl,net_pnl,balance_before,balance,bars,breakout_level,entry_close,entry_high,entry_low,atr_15m,distance_to_breakout_atr,breakout_strength_atr,atr_ma10,atr_expansion_ratio,volume,volume_ma20,volume_ratio,candle_range,candle_body,candle_body_ratio,candle_close_position,direction_adjusted_close_position,whitelist_rank,whitelist_score,coin_re_15m,coin_close_vs_ema20_atr,coin_close_vs_ema50_atr
SOL_USDT,buy,2024-01-02 09:00:00,2024-01-02 09:15:00,115.321,116.66939285714284,0.6496500000000155,TAKE_PROFIT,1.6174811283273816,-0.9067809820732554,3,0.3959849435382667,54.44543860544776,42.43783502823167,52.43044380671935,2024-01-01,2024-01-02 09:15:00,TAKE_PROFIT,0.7496249999999982,0.6493251750000155,99.95,100.59932517500002,3,115.15,115.321,115.33,114.421,0.898928571428572,0.19022646007150498,0.19022646007150498,0.8423142857142869,1.0672127811132586,302602.0,296137.2,1.0218304218450096,0.9089999999999918,0.7309999999999945,0.8041804180418054,0.9900990099009896,0.9900990099009896,2,,0.931870669745958,1.9837378628589186,4.10784692165656
ARB_USDT,buy,2024-01-03 16:30:00,2024-01-03 23:00:00,2.0134,1.8895285714285712,-1.099474999999979,HARD_SL,1.152808211278978,-2.1506169991927075,26,0.3692420932662169,37.67933485514775,37.66813258564806,44.44495630922889,2024-01-02,2024-01-03 23:00:00,HARD_SL,-1.0059932517500008,-1.1060644304678109,100.59932517500002,99.4932607445322,26,1.949,2.0134,2.0918,1.9326,0.06193571428571428,1.0397877984084847,1.0397877984084847,0.08140285714285714,0.7608543048682039,76806957.2,31956417.554999996,2.4034908502433985,0.1592,0.06769999999999987,0.4252512562814062,0.5075376884422095,0.5075376884422095,3,,0.17661988653329325,2.1381881853119005,2.2336879870373623
SOL_USDT,buy,2024-01-09 04:00:00,2024-01-09 04:45:00,101.798,103.766,0.649650000000016,TAKE_PROFIT,1.656249999999998,-1.078506097560978,3,0.2931071972167837,44.91305290399762,31.40929544783411,26.6025408321714,2024-01-08,2024-01-09 04:45:00,TAKE_PROFIT,0.7461994555839913,0.6463579684268694,99.4932607445322,100.13961871295908,3,99.835,101.798,102.296,99.464,1.3120000000000027,1.496189024390247,1.496189024390247,1.2586928571428575,1.0423511919962338,1032276.0,375381.35,2.7499394948630242,2.832000000000008,1.975999999999999,0.697740112994348,0.8241525423728802,0.8241525423728802,2,,0.5098735615854522,2.51216123815636,3.5321547652856298
ETH_USDT,buy,2024-01-10 00:45:00,2024-01-10 12:45:00,2399.46,2337.592857142857,-1.0994749999999829,HARD_SL,1.0454660909321862,-2.042441175791436,48,0.2741392418811768,36.890254815600365,41.44675103957004,29.54386568947938,2024-01-09,2024-01-10 12:45:00,HARD_SL,-1.0013961871295909,-1.101010072844289,100.13961871295908,99.0386086401148,48,2397.15,2399.46,2401.82,2380.05,30.93357142857144,0.07467614935229691,0.07467614935229691,34.96778571428568,0.8846305477081978,69756.121,117959.16934999998,0.5913581910112019,21.769999999999982,15.460000000000036,0.7101515847496578,0.8915939366100079,0.8915939366100079,1,,0.8109863773965703,2.001132867701956,2.903429443955466
SOL_USDT,buy,2024-01-28 04:00:00,2024-01-28 05:30:00,96.928,95.64185714285716,-1.0994749999999869,HARD_SL,0.3949794512940213,-2.376096856603345,6,0.2874206793579678,31.633146454857915,31.423404358117047,48.08380529951102,2024-01-27,2024-01-28 05:30:00,HARD_SL,-0.9903860864011432,-1.088904742345889,99.0386086401148,97.9497038977689,6,96.773,96.928,97.399,96.542,0.6430714285714275,0.2410307675219393,0.2410307675219393,0.5487642857142864,1.171853645202855,665210.0,259868.45,2.5597951578962355,0.8569999999999993,0.3199999999999932,0.37339556592764694,0.4504084014002287,0.4504084014002287,2,,0.6003770028275217,3.620253347228797,4.86667119150292
ETH_USDT,buy,2024-01-30 16:15:00,2024-01-30 17:00:00,2356.89,2375.601428571428,0.6496500000000038,TAKE_PROFIT,1.6457856161246207,-0.4344938158497553,3,0.2270100502512526,38.20152631103383,33.62248815206659,28.39128653119217,2024-01-29,2024-01-30 17:00:00,TAKE_PROFIT,0.7346227792332592,0.6363302513718594,97.9497038977689,98.58603414914076,3,2349.99,2356.89,2359.75,2334.51,12.474285714285672,0.5531378836463674,0.5531378836463674,10.900571428571407,1.1443698888655887,103291.994,46141.72089999999,2.23858130961041,25.23999999999978,10.989999999999782,0.43541996830427404,0.8866877971473791,0.8866877971473791,1,,0.6592420726991467,2.9148988730836813,3.530187361553963
SOL_USDT,buy,2024-02-10 03:45:00,2024-02-10 06:45:00,110.644,109.0347142857143,-1.0994749999999731,HARD_SL,0.2423435419440667,-2.399822458943651,12,0.2403618350204562,53.21202160544666,48.09628947245107,37.89580554837461,2024-02-09,2024-02-10 06:45:00,HARD_SL,-0.9858603414914038,-1.0839287989612387,98.58603414914076,97.50210535017952,12,110.485,110.644,110.746,109.674,0.8046428571428551,0.19760319573902263,0.19760319573902263,0.7561785714285701,1.0640910593680621,412515.0,251131.55,1.6426251500458624,1.0719999999999885,0.5490000000000066,0.5121268656716534,0.9048507462686654,0.9048507462686654,2,,0.6792452830188711,2.341158321742131,3.993214728283707
SOL_USDT,buy,2024-02-13 00:15:00,2024-02-13 03:45:00,114.883,113.05314285714286,-1.0994749999999882,HARD_SL,0.2885471153095589,-2.2264033101725267,14,0.3872839661914953,34.10506957814271,44.24369678370435,32.892525250463336,2024-02-12,2024-02-13 03:45:00,HARD_SL,-0.975021053501792,-1.0720112727988749,97.50210535017952,96.43009407738064,14,113.333,114.883,115.0,112.662,0.9149285714285712,1.694121320946207,1.694121320946207,0.7812500000000003,1.1711085714285707,902556.0,327634.1,2.7547682002575438,2.337999999999994,1.961999999999989,0.8391787852865673,0.9499572284003401,0.9499572284003401,2,,0.8354570637119105,3.9042944338978987,5.730997044943494
SOL_USDT,buy,2024-02-27 01:00:00,2024-02-27 02:00:00,111.826,110.13085714285714,-1.0994749999999869,HARD_SL,0.8070116298668623,-2.153210854542382,4,0.2365168539325897,47.26808112845191,44.6606919616293,35.72768622378336,2024-02-26,2024-02-27 02:00:00,HARD_SL,-0.9643009407738076,-1.060224776857268,96.43009407738064,95.36986930052338,4,111.11,111.826,111.894,110.623,0.8475714285714265,0.8447665599190916,0.8447665599190916,0.7161857142857131,1.1834520176330952,477743.0,239617.55,1.9937729936726254,1.2710000000000008,0.9689999999999941,0.7623918174665566,0.9464988198268985,0.9464988198268985,2,,0.720683559222155,2.333020705765954,4.442304766121868
SOL_USDT,buy,2024-02-29 05:15:00,2024-02-29 06:30:00,125.425,122.7132857142857,-1.0994749999999929,HARD_SL,0.5155410388789358,-2.200821831208506,5,0.3157894736842083,44.08902213565496,38.84594274893436,24.330064446943737,2024-02-28,2024-02-29 06:30:00,HARD_SL,-0.9536986930052352,-1.0485678704919223,95.36986930052338,94.32130143003144,5,124.879,125.425,125.479,123.149,1.3558571428571449,0.4026972921715246,0.4026972921715246,1.6364428571428575,0.8285392532583751,540204.0,477241.35,1.131930416339657,2.3299999999999983,2.25,0.9656652360515029,0.9768240343347631,0.9768240343347631,2,,0.9739220242705915,2.4257014804753325,4.783973223130495
