symbol,side,entry_time,exit_time,entry_idx,entry_price,exit_price,pnl_portfolio_pct,exit_reason,mfe_atr,mae_atr,bars_held,rsi_14,adx_15m,volume_ratio,atr,btc_regime,btc_re,btc_adx,balance
BTC_USDT,long,2023-01-02 07:00:00,2023-01-02 21:45:00,124,16696.68,16780.675714285713,1.3992749999999745,TAKE_PROFIT,3.66268687177915,0.9832644522679324,59,71.95102018657104,36.49543699314803,1.5477098632725934,27.9985714285714,OTHER,0.9011301549285303,20.408973722019446,101.39927499999997
SOL_USDT,long,2023-01-03 05:00:00,2023-01-03 05:15:00,212,11.47,11.737857142857143,1.3992750000000156,TAKE_PROFIT,3.808000000000004,0.11199999999999777,1,68.67550212956932,27.659868983261504,2.0573838960698443,0.08928571428571416,OTHER,0.2169225146198598,29.015807166087892,102.81812970525624
SOL_USDT,long,2023-01-03 05:15:00,2023-01-03 06:15:00,213,11.66,11.96642857142857,1.399275000000016,TAKE_PROFIT,3.720279720279716,0.4895104895104972,4,75.84006196532258,30.15942245057377,5.646574195604213,0.102142857142857,OTHER,0.19359481827992195,29.015807166087892,104.25683808968948
SOL_USDT,long,2023-01-03 06:15:00,2023-01-03 06:30:00,217,12.02,11.751428571428571,-1.0994749999999884,HARD_SL,0.22340425531915772,2.0106382978723403,1,83.761207743179,39.522393219072875,2.9778678437343173,0.1342857142857141,OTHER,0.9455483377913902,29.054618094848795,103.11056021910288
SOL_USDT,long,2023-01-03 14:00:00,2023-01-03 15:15:00,248,12.42,12.803571428571429,1.3992750000000231,TAKE_PROFIT,3.910614525139663,1.6424581005586512,5,77.5062480979456,35.50719315639019,7.6049526085035595,0.12785714285714292,OTHER,0.276349206349204,31.078175741081367,104.55336051060875
SOL_USDT,long,2023-01-03 15:15:00,2023-01-03 16:00:00,253,12.83,13.464285714285714,1.3992750000000136,TAKE_PROFIT,5.108108108108113,0.5675675675675643,3,76.76626783498506,43.618886060221875,2.565347433940668,0.21142857142857124,OTHER,0.5820630749014436,29.19683391734235,106.01634954589359
SOL_USDT,long,2023-01-03 16:00:00,2023-01-03 17:30:00,256,13.52,12.88,-1.099474999999993,HARD_SL,0.031249999999999355,2.2187499999999987,6,84.99702893670343,49.24604887476822,3.9775742468211837,0.3199999999999998,OTHER,0.4929450422008816,27.796294355358214,104.85072628672388
SOL_USDT,long,2023-01-04 00:15:00,2023-01-04 01:00:00,289,13.78,13.408571428571427,-1.0994750000000018,HARD_SL,0.5923076923076993,2.0461538461538424,3,73.3514719452933,39.893846902365055,3.3507754622587425,0.18571428571428555,OTHER,0.5822766775893965,18.18325042207508,103.69791876388292
ETH_USDT,long,2023-01-04 01:15:00,2023-01-04 02:30:00,293,1225.66,1232.9350000000002,1.3992750000000003,TAKE_PROFIT,3.6453608247422054,1.0185567010309309,5,80.61307029848835,26.258601655006522,5.500085653668366,2.4250000000000194,OTHER,0.579647006255576,17.101702116508935,105.14893781666625
BTC_USDT,long,2023-01-04 02:30:00,2023-01-04 03:00:00,298,16741.74,16811.237142857146,1.3992749999999952,TAKE_PROFIT,4.7056610754807835,0.5788727183028854,2,71.9574052337285,27.57018256197529,2.104246098255244,23.165714285715044,OTHER,0.6611740473738578,17.349833517196522,106.6202606163004
