symbol,side,entry_time,exit_time,entry_price,exit_price,pnl_portfolio_pct,exit_reason,mfe_atr,mae_atr,bars_held,btc_re,btc_adx_1h,coin_adx_15m,coin_adx_1h,whitelist_source_date,ts,exit,pnl,net_pnl,balance_before,balance,bars
SOL_USDT,buy,2024-01-02 09:00:00,2024-01-02 09:15:00,115.321,116.66939285714285,0.6496500000000155,TAKE_PROFIT,1.6174811283273816,-0.9067809820732554,3,0.3959849435382667,54.44543860544776,42.43783502823167,52.43044380671935,2024-01-01,2024-01-02 09:15:00,TAKE_PROFIT,0.7496249999999982,0.6493251750000155,99.95,100.59932517500002,3
ARB_USDT,buy,2024-01-03 16:30:00,2024-01-03 23:00:00,2.0134,1.8895285714285712,-1.0994749999999793,HARD_SL,1.1528082112789781,-2.1506169991927075,26,0.3692420932662169,37.67933485514775,37.66813258564806,44.44495630922889,2024-01-02,2024-01-03 23:00:00,HARD_SL,-1.0059932517500008,-1.1060644304678107,100.59932517500002,99.49326074453221,26
SOL_USDT,buy,2024-01-09 04:00:00,2024-01-09 04:45:00,101.798,103.766,0.649650000000016,TAKE_PROFIT,1.656249999999998,-1.0785060975609781,3,0.29310719721678374,44.913052903997624,31.40929544783411,26.602540832171396,2024-01-08,2024-01-09 04:45:00,TAKE_PROFIT,0.7461994555839913,0.6463579684268694,99.49326074453221,100.13961871295908,3
ETH_USDT,buy,2024-01-10 00:45:00,2024-01-10 12:45:00,2399.46,2337.592857142857,-1.0994749999999827,HARD_SL,1.0454660909321862,-2.0424411757914362,48,0.2741392418811768,36.890254815600365,41.44675103957004,29.54386568947938,2024-01-09,2024-01-10 12:45:00,HARD_SL,-1.0013961871295909,-1.1010100728442893,100.13961871295908,99.03860864011479,48
SOL_USDT,buy,2024-01-28 04:00:00,2024-01-28 05:30:00,96.928,95.64185714285715,-1.0994749999999869,HARD_SL,0.39497945129402134,-2.376096856603345,6,0.28742067935796783,31.633146454857915,31.423404358117047,48.08380529951102,2024-01-27,2024-01-28 05:30:00,HARD_SL,-0.9903860864011432,-1.088904742345889,99.03860864011479,97.9497038977689,6
ETH_USDT,buy,2024-01-30 16:15:00,2024-01-30 17:00:00,2356.89,2375.601428571428,0.6496500000000038,TAKE_PROFIT,1.6457856161246207,-0.4344938158497553,3,0.22701005025125262,38.20152631103383,33.62248815206659,28.391286531192172,2024-01-29,2024-01-30 17:00:00,TAKE_PROFIT,0.7346227792332592,0.6363302513718594,97.9497038977689,98.58603414914076,3
SOL_USDT,buy,2024-02-10 03:45:00,2024-02-10 06:45:00,110.644,109.0347142857143,-1.0994749999999731,HARD_SL,0.2423435419440667,-2.399822458943651,12,0.24036183502045627,53.21202160544666,48.09628947245107,37.89580554837461,2024-02-09,2024-02-10 06:45:00,HARD_SL,-0.9858603414914038,-1.0839287989612387,98.58603414914076,97.50210535017952,12
SOL_USDT,buy,2024-02-13 00:15:00,2024-02-13 03:45:00,114.883,113.05314285714286,-1.0994749999999882,HARD_SL,0.28854711530955895,-2.2264033101725267,14,0.3872839661914953,34.10506957814271,44.24369678370435,32.892525250463336,2024-02-12,2024-02-13 03:45:00,HARD_SL,-0.975021053501792,-1.0720112727988749,97.50210535017952,96.43009407738064,14
SOL_USDT,buy,2024-02-27 01:00:00,2024-02-27 02:00:00,111.826,110.13085714285714,-1.0994749999999867,HARD_SL,0.8070116298668623,-2.153210854542382,4,0.23651685393258973,47.26808112845191,44.660691961629304,35.72768622378336,2024-02-26,2024-02-27 02:00:00,HARD_SL,-0.9643009407738076,-1.0602247768572681,96.43009407738064,95.36986930052338,4
SOL_USDT,buy,2024-02-29 05:15:00,2024-02-29 06:30:00,125.425,122.7132857142857,-1.0994749999999927,HARD_SL,0.5155410388789358,-2.200821831208506,5,0.3157894736842083,44.08902213565496,38.84594274893436,24.330064446943737,2024-02-28,2024-02-29 06:30:00,HARD_SL,-0.9536986930052351,-1.0485678704919223,95.36986930052338,94.32130143003145,5
