timestamp,symbol,type,exit,pnl_pct,net_pnl_pct,exit_net_pnl_pct,entry_price,exit_price,atr,mfe_atr,mae_atr,bars_held
2023-05-24 13:00:00,ADA_USDT,LONG,SL,-0.012099921935987565,-0.014099921935987565,-0.013099921935987566,0.366,0.36157142857142854,0.0022142857142857125,1.3999999999999975,2.574193548387091,7
2023-05-30 14:00:00,ADA_USDT,LONG,SL,-0.013349377655774045,-0.015349377655774045,-0.014349377655774046,0.3799,0.37482857142857146,0.002535714285714288,1.3408450704225177,2.050704225352126,29
2023-06-01 02:00:00,ADA_USDT,LONG,SL,-0.014652014652014732,-0.016652014652014734,-0.015652014652014733,0.3744,0.3689142857142857,0.002742857142857158,0.9843749999999873,3.6458333333333166,9
2023-06-26 16:00:00,ADA_USDT,LONG,SL,-0.03455670907052689,-0.03655670907052689,-0.03555670907052689,0.2931,0.2829714285714286,0.005064285714285716,2.3497884344146613,4.265162200282088,95
2023-06-28 07:00:00,ADA_USDT,LONG,SL,-0.0302032128921096,-0.0322032128921096,-0.031203212892109602,0.2819,0.2733857142857143,0.00425714285714286,1.8322147651006766,2.5134228187919416,30
2023-07-13 15:00:00,ADA_USDT,LONG,SL,0.0,-0.002,-0.001,0.2888,0.2888,0.0023357142857142904,10.746177370030564,1.4128440366972557,16
2023-07-16 19:00:00,ADA_USDT,LONG,SL,-0.042216703698862934,-0.044216703698862936,-0.043216703698862935,0.3279,0.31405714285714287,0.006921428571428574,1.3725490196078358,2.008255933952531,44
2023-07-18 11:00:00,ADA_USDT,LONG,SL,-0.03070675731167578,-0.03270675731167578,-0.03170675731167578,0.3131,0.3034857142857143,0.004807142857142855,0.2080237741456169,2.2466567607726557,14
2023-07-19 00:00:00,ADA_USDT,LONG,SL,0.0,-0.002,-0.001,0.3068,0.3068,0.003799999999999998,2.3157894736842053,1.3684210526315896,6
2023-07-20 14:00:00,ADA_USDT,LONG,SL,0.0,-0.002,-0.001,0.317,0.317,0.004149999999999999,3.6144578313253053,1.686746987951809,29
2023-07-30 19:00:00,ADA_USDT,LONG,SL,-0.01306122448979599,-0.01506122448979599,-0.01406122448979599,0.315,0.31088571428571427,0.0020571428571428607,0.09722222222221134,3.8888888888888857,2
2023-07-31 19:00:00,ADA_USDT,LONG,SL,-0.01783451022994749,-0.01983451022994749,-0.01883451022994749,0.3156,0.30997142857142856,0.0028142857142857136,1.208121827411173,2.8071065989847788,20
2023-08-31 15:00:00,ADA_USDT,LONG,SL,-0.016082897080252543,-0.01808289708025254,-0.017082897080252544,0.2647,0.26044285714285714,0.002128571428571432,0.8926174496644341,3.8523489932885777,19
2023-09-20 09:00:00,ADA_USDT,LONG,SL,-0.013815863071932014,-0.015815863071932015,-0.014815863071932014,0.2554,0.2518714285714286,0.0017642857142857143,0.3967611336032266,2.8340080971659942,11
2023-10-04 00:00:00,ADA_USDT,LONG,SL,-0.02107907383136733,-0.023079073831367328,-0.02207907383136733,0.2616,0.2560857142857143,0.0027571428571428586,1.051813471502595,3.5544041450777093,23
2023-10-07 19:00:00,ADA_USDT,LONG,SL,0.0,-0.002,-0.001,0.2565,0.2565,0.002721428571428569,3.8950131233595826,0.8083989501312269,86
2023-10-17 12:00:00,ADA_USDT,LONG,SL,-0.009014148790506575,-0.011014148790506575,-0.010014148790506576,0.2504,0.24814285714285716,0.001128571428571429,1.1518987341771862,2.1265822784810235,5
2023-10-23 01:00:00,ADA_USDT,LONG,TP,0.033971450702666696,0.031971450702666694,0.032971450702666695,0.2582,0.2669714285714285,0.0021928571428571353,4.925081433224787,1.0488599348534096,12
2023-10-23 22:00:00,ADA_USDT,LONG,TP,0.04130938898775818,0.03930938898775818,0.04030938898775818,0.2649,0.27584285714285717,0.0027357142857142897,6.360313315926873,1.2793733681462134,14
2023-10-26 17:00:00,ADA_USDT,LONG,SL,0.0,-0.002,-0.001,0.2819,0.2819,0.005121428571428578,3.0460251046025073,1.1520223152022224,41
2023-11-01 05:00:00,ADA_USDT,LONG,SL,-0.028028319270681782,-0.03002831927068178,-0.029028319270681783,0.2946,0.2863428571428571,0.00412857142857143,0.024221453287208,2.3252595155709326,9
2023-11-01 19:00:00,ADA_USDT,LONG,TP,0.03614398664243967,0.034143986642439665,0.035143986642439666,0.2909,0.3014142857142857,0.0026285714285714246,4.298913043478279,1.75,7
2023-11-09 10:00:00,ADA_USDT,LONG,TP,0.0624999999999999,0.0604999999999999,0.0614999999999999,0.352,0.37399999999999994,0.005499999999999989,4.1454545454545615,0.8545454545454529,40
2023-11-13 14:00:00,ADA_USDT,LONG,SL,0.0,-0.002,-0.001,0.362,0.362,0.009971428571428588,3.3997134670487035,0.20057306590257865,89
2023-11-16 06:00:00,ADA_USDT,LONG,TP,0.09259184252096067,0.09059184252096067,0.09159184252096067,0.3527,0.38535714285714284,0.00816428571428571,4.090988626421697,0.0734908136482927,34
2023-11-17 15:00:00,ADA_USDT,LONG,SL,-0.04815195462677477,-0.05015195462677477,-0.04915195462677477,0.3753,0.35722857142857145,0.00903571428571429,0.34308300395256813,2.4126482213438774,15
2023-11-18 06:00:00,ADA_USDT,LONG,SL,-0.038734315330059985,-0.040734315330059986,-0.039734315330059986,0.3666,0.3524,0.0070999999999999995,0.2957746478873305,2.0422535211267547,13
2023-11-21 15:00:00,ADA_USDT,LONG,SL,-0.03279541905257693,-0.03479541905257693,-0.03379541905257693,0.3842,0.37159999999999993,0.006300000000000016,0.9206349206349227,3.2222222222222117,15
2023-11-21 22:00:00,ADA_USDT,LONG,SL,-0.03346237878032889,-0.035462378780328895,-0.034462378780328894,0.3727,0.3602285714285714,0.006235714285714293,0.3688430698740012,2.790378006872844,2
2023-11-24 03:00:00,ADA_USDT,LONG,TP,0.08510638297872343,0.08310638297872343,0.08410638297872343,0.3666,0.3978,0.007799999999999997,4.025641025641032,0.12820512820512836,49
2023-11-27 07:00:00,ADA_USDT,LONG,SL,-0.01936983471074382,-0.021369834710743822,-0.02036983471074382,0.3872,0.3797,0.0037499999999999916,1.3866666666666798,2.0799999999999974,11
2023-11-29 15:00:00,ADA_USDT,LONG,SL,0.0,-0.002,-0.001,0.3777,0.3777,0.004335714285714296,2.6985172981878125,1.9143327841845035,40
2023-12-04 01:00:00,ADA_USDT,LONG,TP,0.029287174992696546,0.027287174992696547,0.028287174992696545,0.3912,0.4026571428571429,0.00286428571428572,5.027431421446383,0.03491271820448487,5
2023-12-05 23:00:00,ADA_USDT,LONG,TP,0.05627813020519537,0.05427813020519537,0.05527813020519537,0.4031,0.42578571428571427,0.0056714285714285695,4.125944584382869,1.0755667506297224,26
2023-12-11 02:00:00,ADA_USDT,LONG,SL,-0.06233550681683459,-0.06433550681683459,-0.06333550681683459,0.6025,0.5649428571428572,0.01877857142857144,0.6816279954355223,5.048307341194367,26
2023-12-13 06:00:00,ADA_USDT,LONG,SL,-0.05437375501069757,-0.05637375501069757,-0.05537375501069757,0.5809,0.5493142857142858,0.015792857142857126,0.44957033016734527,2.241519674355497,12
2023-12-14 13:00:00,ADA_USDT,LONG,SL,-0.050675749437785245,-0.052675749437785246,-0.051675749437785246,0.6543,0.6211428571428571,0.016578571428571436,0.5549332184403264,2.7927617406290386,3
2023-12-19 01:00:00,ADA_USDT,LONG,TP,0.07215769095388934,0.07015769095388934,0.07115769095388934,0.5682,0.6092,0.010249999999999973,4.760975609756106,0.40975609756098574,12
2023-12-21 17:00:00,ADA_USDT,LONG,TP,0.06340454858718116,0.061404548587181154,0.062404548587181155,0.5804,0.6172,0.009199999999999995,5.108695652173909,1.2934782608695683,41
2023-12-28 00:00:00,ADA_USDT,LONG,TP,0.08258553673400829,0.08058553673400828,0.08158553673400828,0.5954,0.6445714285714286,0.012292857142857137,5.336432306798375,0.9110981987216729,28
2023-12-29 22:00:00,ADA_USDT,LONG,SL,-0.04996096799375486,-0.05196096799375486,-0.05096096799375486,0.6222,0.5911142857142857,0.015542857142857152,0.965073529411765,2.026654411764703,30
2024-01-02 21:00:00,ADA_USDT,LONG,SL,-0.02442180171437814,-0.02642180171437814,-0.02542180171437814,0.6183,0.6032,0.007549999999999993,0.013245033112581335,2.172185430463574,5
2024-01-03 11:00:00,ADA_USDT,LONG,SL,-0.026702050210187598,-0.028702050210187596,-0.0277020502101876,0.6083,0.5920571428571428,0.008121428571428542,1.3544415127528646,2.03166226912929,13
2024-01-14 20:00:00,ADA_USDT,LONG,SL,-0.041930236761250676,-0.04393023676125068,-0.04293023676125068,0.5533,0.5301,0.01159999999999999,0.06896551724138134,2.086206896551726,39
2024-01-31 00:00:00,ADA_USDT,LONG,SL,-0.019896004378762874,-0.021896004378762872,-0.020896004378762875,0.522,0.5116142857142858,0.005192857142857134,1.4250343878954561,3.1966987620357803,9
2024-01-31 21:00:00,ADA_USDT,LONG,SL,-0.023097673373047033,-0.02509767337304703,-0.024097673373047034,0.5084,0.49665714285714285,0.00587142857142856,2.0097323600973334,2.486618004866176,6
2024-02-02 10:00:00,ADA_USDT,LONG,TP,0.05307941653160465,0.05107941653160465,0.05207941653160465,0.4936,0.5198,0.006550000000000005,4.717557251908391,1.1145038167938883,26
2024-02-05 16:00:00,ADA_USDT,LONG,SL,-0.017280646814325642,-0.01928064681432564,-0.018280646814325643,0.5018,0.4931285714285714,0.004335714285714296,0.9456342668863222,2.19110378912685,9
2024-02-10 08:00:00,ADA_USDT,LONG,SL,-0.025350268430011754,-0.027350268430011752,-0.026350268430011755,0.5455,0.5316714285714286,0.006914285714285698,0.24586776859504691,2.0247933884297584,8
2024-02-16 14:00:00,ADA_USDT,LONG,SL,-0.024953109048173105,-0.026953109048173107,-0.025953109048173106,0.6017,0.5866857142857143,0.007507142857142879,1.7316841103710716,2.0114176974310127,4
2024-02-23 16:00:00,ADA_USDT,LONG,SL,-0.03079814921920186,-0.03279814921920186,-0.031798149219201856,0.5928,0.5745428571428571,0.009128571428571422,1.7417840375586895,2.705790297339589,43
2024-02-28 11:00:00,ADA_USDT,LONG,SL,0.0,-0.002,-0.001,0.622,0.622,0.008949999999999982,2.7262569832402264,0.7039106145251379,17
2024-02-29 22:00:00,ADA_USDT,LONG,SL,-0.05128096995255673,-0.05328096995255673,-0.05228096995255673,0.6775,0.6427571428571428,0.017371428571428593,0.1381578947368395,2.158717105263154,3
2024-03-02 00:00:00,ADA_USDT,LONG,TP,0.09731957011172002,0.09531957011172001,0.09631957011172002,0.6726,0.7380571428571429,0.01636428571428572,4.992579659537318,0.6110868616324753,24
2024-03-04 06:00:00,ADA_USDT,LONG,TP,0.0745580473639806,0.0725580473639806,0.0735580473639806,0.7281,0.7823857142857142,0.013571428571428559,4.826315789473689,0.6336842105263121,19
2024-03-15 03:00:00,ADA_USDT,LONG,SL,0.0,-0.002,-0.001,0.6988,0.6988,0.033685714285714284,3.351569126378287,0.4482612383375743,215
2024-03-15 09:00:00,ADA_USDT,LONG,SL,-0.05544297322289338,-0.05744297322289338,-0.05644297322289338,0.7261,0.6858428571428571,0.020128571428571433,0.05464868701206478,2.88147622427253,3
2024-03-16 18:00:00,ADA_USDT,LONG,SL,-0.0616191933848814,-0.0636191933848814,-0.0626191933848814,0.7187,0.6744142857142857,0.022142857142857124,1.0161290322580638,2.637419354838712,29
2024-03-27 14:00:00,ADA_USDT,LONG,SL,-0.020765003583917915,-0.022765003583917913,-0.021765003583917916,0.6577,0.6440428571428571,0.006828571428571422,1.2887029288702985,3.5585774058577426,3
2024-03-30 21:00:00,ADA_USDT,LONG,SL,0.0,-0.002,-0.001,0.6454,0.6454,0.010257142857142862,2.3983286908078045,0.974930362116992,74
2024-04-09 14:00:00,ADA_USDT,LONG,SL,0.0,-0.002,-0.001,0.6068,0.6068,0.005742857142857145,3.1169154228855755,1.9676616915422838,4
2024-05-17 07:00:00,ADA_USDT,LONG,TP,0.03892701185277614,0.03692701185277614,0.03792701185277614,0.458,0.4758285714285715,0.004457142857142866,5.272435897435879,0.9423076923076987,12
2024-05-20 01:00:00,ADA_USDT,LONG,SL,-0.016585158409525777,-0.01858515840952578,-0.017585158409525778,0.4703,0.4625,0.0038999999999999946,0.0,2.4102564102564186,3
2024-05-20 06:00:00,ADA_USDT,LONG,SL,-0.017148949131891536,-0.019148949131891538,-0.018148949131891537,0.469,0.46095714285714284,0.00402142857142856,2.1882770870337613,2.1882770870337476,4
2024-05-20 19:00:00,ADA_USDT,LONG,TP,0.042649395087376286,0.040649395087376285,0.041649395087376286,0.4676,0.48754285714285717,0.004985714285714283,4.613180515759307,0.8424068767908388,6
2024-05-22 04:00:00,ADA_USDT,LONG,SL,-0.026985084921113886,-0.028985084921113888,-0.027985084921113887,0.4971,0.4836857142857143,0.006707142857142848,0.01490947816826249,2.281150159744409,6
2024-05-22 11:00:00,ADA_USDT,LONG,SL,-0.02055310760667904,-0.022553107606679043,-0.021553107606679042,0.4928,0.4826714285714286,0.005064285714285711,0.17771509167842275,2.132581100141051,5
2024-05-23 12:00:00,ADA_USDT,LONG,SL,-0.023056711835385133,-0.02505671183538513,-0.024056711835385134,0.4839,0.47274285714285713,0.005578571428571421,0.914212548015365,3.190781049935981,21
2024-05-30 06:00:00,ADA_USDT,LONG,SL,-0.04202039943809934,-0.04402039943809934,-0.04302039943809934,0.4678,0.4481428571428571,0.009828571428571433,0.7732558139534875,2.3604651162790686,153
2024-06-29 17:00:00,ADA_USDT,LONG,SL,-0.020155318764674017,-0.02215531876467402,-0.021155318764674018,0.3955,0.38752857142857144,0.003985714285714279,0.7025089605734701,2.2078853046595093,8
2024-07-03 10:00:00,ADA_USDT,LONG,SL,-0.017133262515848208,-0.01913326251584821,-0.01813326251584821,0.4169,0.4097571428571429,0.0035714285714285665,0.36400000000000704,3.8080000000000056,4
2024-07-03 20:00:00,ADA_USDT,LONG,SL,-0.025018217148408975,-0.027018217148408977,-0.026018217148408976,0.4117,0.40140000000000003,0.005149999999999992,0.11650485436893016,2.213592233009716,7
2024-07-13 07:00:00,ADA_USDT,LONG,TP,0.05762966675018783,0.05562966675018783,0.05662966675018783,0.3991,0.4221,0.0057499999999999895,4.695652173913047,1.0608695652173923,31
2024-07-14 12:00:00,ADA_USDT,LONG,SL,-0.024640724456985348,-0.02664072445698535,-0.02564072445698535,0.4354,0.4246714285714286,0.005364285714285718,0.50332889480692,2.0319573901464736,4
2024-07-21 14:00:00,ADA_USDT,LONG,SL,0.0,-0.002,-0.001,0.426,0.426,0.005192857142857146,3.215955983493807,1.9834938101788113,59
2024-07-22 05:00:00,ADA_USDT,LONG,SL,0.0,-0.002,-0.001,0.4338,0.4338,0.005421428571428573,3.0250329380764103,0.6455862977602113,9
2024-07-23 13:00:00,ADA_USDT,LONG,SL,-0.020619249110081197,-0.022619249110081195,-0.021619249110081198,0.4254,0.41662857142857146,0.004385714285714283,0.4104234527687354,2.4853420195439804,5
2024-08-23 06:00:00,ADA_USDT,LONG,TP,0.03969761581701882,0.03769761581701882,0.03869761581701882,0.3685,0.38312857142857143,0.003657142857142859,4.101562500000002,0.2734375000000001,21
2024-08-25 01:00:00,ADA_USDT,LONG,SL,-0.020449674911917442,-0.02244967491191744,-0.021449674911917443,0.3933,0.38525714285714285,0.004021428571428565,0.2238010657193639,2.735346358792192,2
2024-08-26 11:00:00,ADA_USDT,LONG,SL,-0.024162670532693956,-0.026162670532693957,-0.025162670532693956,0.3843,0.3750142857142857,0.004642857142857147,1.4646153846153893,2.627692307692303,22
2024-09-24 07:00:00,ADA_USDT,LONG,TP,0.044237012987012984,0.04223701298701298,0.043237012987012984,0.352,0.36757142857142855,0.0038928571428571423,4.392660550458717,1.7981651376146808,33
2024-09-28 06:00:00,ADA_USDT,LONG,SL,-0.022118906734291358,-0.02411890673429136,-0.02311890673429136,0.4056,0.39662857142857144,0.004485714285714292,0.8694267515923464,2.117834394904458,18
2024-10-01 13:00:00,ADA_USDT,LONG,SL,-0.021290129461947173,-0.023290129461947175,-0.022290129461947174,0.3818,0.37367142857142854,0.004064285714285707,1.0087873462214547,2.5588752196836517,10
2024-10-23 15:00:00,ADA_USDT,LONG,SL,-0.02341137123745809,-0.02541137123745809,-0.024411371237458093,0.3588,0.35040000000000004,0.004199999999999994,2.5000000000000058,2.4047619047619078,46
